"Aggregated_Class","GLC_2000_Class","continuity","area","canopyCover"
"Mosaic forest","Mosaic (tree cover/other)","continuous",0.55,11.3
"Mosaic forest","Mosaic (tree cover/other)","discontinuous",0.45,18.6
"Mosaic forest","Shrub cover, closed-open, evergreen","continuous",0.28,16.1
"Mosaic forest","Shrub cover, closed-open, evergreen","discontinuous",0.24,22.5
"Needleleaf deciduous","Needleleaf deciduous","continuous",2.49,17.4
"Needleleaf deciduous","Needleleaf deciduous","discontinuous",0.54,30.1
"Needleleaf evergreen","Needleleaf evergreen","continuous",0.21,34.5
"Needleleaf evergreen","Needleleaf evergreen","discontinuous",0.56,38
"Other","Aritifical surfaces","continuous",0,8.6
"Other","Aritifical surfaces","discontinuous",0,13.5
"Other","Bare","continuous",0.55,5.8
"Other","Bare","discontinuous",0.03,9.4
"Other","Cultivated andmanaged","continuous",0.03,8.7
"Other","Cultivated andmanaged","discontinuous",0.01,12.9
"Other","Mosaic crop/shrub or grass","continuous",0.02,11.1
"Other","Mosaic crop/shrub or grass","discontinuous",0.01,12
"Other","Mosaic crop/tree/other natural","continuous",0,21.3
"Other","Mosaic crop/tree/other natural","discontinuous",0,23.2
"Other","Snow and ice","continuous",0.39,2.4
"Other","Snow and ice","discontinuous",0.05,2.9
"Other","Water","continuous",0.46,13.7
"Other","Water","discontinuous",0.16,23.9
"Other forest","Broadleaved deciduous closed","continuous",0.03,26.1
"Other forest","Broadleaved deciduous closed","discontinuous",0.03,34
"Other forest","Broadleaved deciduous open (15%–40%)","continuous",0,9
"Other forest","Broadleaved deciduous open (15%–40%)","discontinuous",0,10.9
"Other forest","Burned tree cover","continuous",0.09,16.5
"Other forest","Burned tree cover","discontinuous",0.09,21.8
"Other forest","Mixed leaf tree cover","continuous",0.09,36.9
"Other forest","Mixed leaf tree cover","discontinuous",0.09,44.4
"Tundra","Herbaceous cover closed-open","continuous",0.86,5.5
"Tundra","Herbaceous cover closed-open","discontinuous",0.12,9.3
"Tundra","Regularly flooded shrub and/or herbaceous","continuous",0.23,12.9
"Tundra","Regularly flooded shrub and/or herbaceous","discontinuous",0.14,16.3
"Tundra","Shrub cover closed-open, deciduous","continuous",1.28,6.2
"Tundra","Shrub cover closed-open, deciduous","discontinuous",0.25,12.7
"Tundra","Sparse herbaceous or sparse shrub","continuous",3.32,5.6
"Tundra","Sparse herbaceous or sparse shrub","discontinuous",0.4,10.6
